sender_id,sender_name,sender_logo
BNDNBK,BANDHAN BANK LIMITED,
BNDNHL,BANDHAN BANK LIMITED,
BNKBCB,THE BHARAT CO OPERATIVE BANK LTD,
BNSBKL,BHAGINI NIVEDITA SAHAKARI BANK LTD PUNE,
BNSBL,BALASINOR NAGARIK SAHAKARI BANK LTD,
BNSBNK,SHREE BHAVNAGAR NAGRIK SAHAKARI BANK LTD.,
BOBBIZ,BANK OF BARODA,bob_logo
BOBBNK,BANK OF BARODA,bob_logo
BOBCMS,BANK OF BARODA,bob_logo
BOBCRM,BANK OF BARODA,bob_logo
BOBFRM,BANK OF BARODA,bob_logo
BOBMSG,BANK OF BARODA,bob_logo
BOBOTP,BANK OF BARODA,bob_logo
BOBRAJ,BANK OF BARODA,bob_logo
BOBSCE,BANK OF BARODA,bob_logo
BOBSCF,BANK OF BARODA,bob_logo
BOBSMS,BANK OF BARODA,bob_logo
BOBTRE,BANK OF BARODA,bob_logo
BOBTXN,BANK OF BARODA,bob_logo
BOBUPG,BANK OF BARODA,bob_logo
BOBUPI,BANK OF BARODA,bob_logo
BOIBAL,BANK OF INDIA,boi_logo
BOIIND,BANK OF INDIA,boi_logo
BOIINT,BANK OF INDIA,boi_logo
BOIJGB,BANK OF INDIA,boi_logo
BOILON,BANK OF INDIA,boi_logo
BOINJG,BANK OF INDIA,boi_logo
BOIREM,BANK OF INDIA,boi_logo
BOISAF,BANK OF INDIA,boi_logo
BOISME,BANK OF INDIA,boi_logo
BOIVKG,BANK OF INDIA,boi_logo
BOMSCT,BANK OF MAHARASHTRA SC ST & OBC EMPLOYEES ASSOCIATION PUNE,
BPMCTR,Syndicate Bank,
BRAMHA,BRAMHAPURI URBAN CO OP BANK LTD,
BRDSEC,Syndicate Bank,
BRIMPS,MUZAFFARNAGAR DISTRICT COOPERATIVE BANK LTD.,
BRKGBD,Baroda Rajasthan Kshetriya Gramin Bank,
BRKGBM,Baroda Rajasthan Kshetriya Gramin Bank,
BRKGBS,Baroda Rajasthan Kshetriya Gramin Bank,
BRKGBX,Baroda Rajasthan Kshetriya Gramin Bank,
BSBBMT,THE BARAMATI SAHAKARI BANK LTD,
BSBLBK,THE BARAMATI SAHAKARI BANK LTD,
BSBLTD,SHRI BASAVESHWAR SAHAKARI BANK NIYAMIT BAGALKOT,
BSCBNK,THE BIHAR STATE COOPERATIVE BANK LTD.,
BUCBBK,The Baghat Urban Cooperative Bank Ltd,
BUCBKL,BALOTRA URBAN CO OPERATIVE BANK LTD,
BUCBLB,BRAMHAPURI URBAN CO OP BANK LTD,
BUCBNK,THE BHANDARA URBAN CO OP BANK LIMITED,
BUCBRJ,BALOTRA URBAN CO OPERATIVE BANK LTD,
BULAND,ZILA SAHKARI BANK LTD BULANDSHAR,
BUPGBB,BARODA U P BANK,
BUPGBM,BARODA U P BANK,
BUPGBX,BARODA U P BANK,
BURBAN,BHILWARA URBAN COOPERATIVE BANK LTD,
BWRUCB,BEAWAR URBAN COOP BANK LTD,
BZRCMB,RANI CHANNAMMA MAHILA SAHAKARI BANK NIYAMIT BELAGAVI,
CAANBK,Canara Bank,canara_logo
CANBNK,Canara Bank,canara_logo
CANMNY,Canara Bank Securities Limited,canara_logo
CANRRB,Canara Bank,canara_logo
CANRWD,Canara Bank,canara_logo
CBGUNA,Jila Sahakari Kendriya Bank Maryadit. Guna,
CBIOTP,Central Bank of India,
CBREWA,Jila Sahakari Kendriya Bank Maryadit Rewa,
CBSKUB,the koylanchal urban cooperative bank ltd,
CBSLTD,Canara Bank Securities Limited,canara_logo
CBSSBI,STATE BANK OF INDIA,sbi_logo
CBSTGB,TELANGANA GRAMEENA BANK,
CCBANK,CHENNAI CENTRAL CO OPERATIVE BANK LTD,
CCBBTL,JILA SAHAKARI KENDRIYA BANK MARYADIT BETUL,
CCBCHW,Jila Sahakari Kendriya Maryadit Bank CHHINDWARA,
CCBDTA,Jila Sahakari Kendriya Bank Maryadit. Datia,
CCBDWS,JILA SAHAKARI KENDRIYA BANK MARYADIT DEWAS,
CCBFAZ,THE FAZILKA CENTRAL COOPERATIVE BANK LTD,
CCBGUR,The Gurdaspur Central Cooperative Bank Ltd.,
CCBGWL,Jila Sahakari Kendriya Bank Maryadit Gwalior,
CCBJBK,THE CITIZENS COOPERATIVE BANK LTD JAMMU,
CCBJMU,THE CITIZENS COOPERATIVE BANK LTD JAMMU,
CCBKGN,Jila Sahakari Kendriya maryadit bank Khargone,
CCBKNW,JILA SAHAKARI KENDRIYA BANK MARYADIT KHANDWA,
CCBLTD,CONTAI COOPERATIVE BANK LIMITED,
CCBMOR,Jila Sahakari kendriya Maryadit bank MORENA,
CCBRJG,Jila Saharkari Kendriya Maryadit Bank RAJGARH,
CCBROP,The Ropar Central Cooperative Bank Ltd.,
CCBSAS,The SAS Nagar Central Cooperative Bank Ltd,
CCBSDH,Jila Sahakari Kendriya Bank Maryadit Sidhi,
CCBSGR,Jila Sahakari Kendriya Maryadit Bank SAGAR,
CCBSHR,JILA SAHAKARI KENDRIYA BANK MARYADIT SEHORE,
CCBSNI,JILA SAHAKARI KENDRIYA BANK MARYADIT SEONI,
CCBSTN,Jila Sahakari Kendriya Bank Maryadit Satna,
CCBSVP,JILA SHAHKARI KENDRIYA BANK MARYADIT SHIVPURI,
CCBTKG,JILA SAHAKARI KENDRIYA BANK MARYADIT TIKAMGARH,
CCCDEL,STATE BANK OF INDIA,sbi_logo
CCHRIR,STATE BANK OF INDIA,sbi_logo
CCOBNK,Citizens Co Operative Bank Ltd,
CCONLN,STATE BANK OF INDIA,sbi_logo
CCPCAH,STATE BANK OF INDIA,sbi_logo
CCPCCN,STATE BANK OF INDIA,sbi_logo
CCRSBI,STATE BANK OF INDIA,sbi_logo
CDSAFE,MUZAFFARNAGAR DISTRICT COOPERATIVE BANK LTD.,
CENTBK,Central Bank of India,
CFOBAN,STATE BANK OF INDIA,sbi_logo
CGAPBK,CHHATTISGARH STATE COOPERATIVE BANK,
CGBBBK,CHHATTISGARH RAJYA GRAMIN BANK,
CGGBNK,CHAITANYA GODAVARI GRAMEENA BANK,
CHADCC,CHAMOLI ZILA SAHKARI BANK LTD.,
CHAMBK,CHAMOLI ZILA SAHKARI BANK LTD.,
CHAMCO,THE CHANDWAD MERCHANTS CO.OP. BANK LTD.,
CHDSBK,The Chandigarh State Cooperative bank Ltd,
CHHIBK,Jila Sahakari Kendriya Maryadit Bank CHHINDWARA,
CHOINS,CANARA HSBC ORIENTAL BANK OF COMMERCE LIFE INSURANCE COMPANY LIMITED,
CHSBNK,THE CHITNAVISPURA SAHAKARI BANK LTD,
CHSCBK,CHOMBAL SERVICE CO OPERATIVE BANK,
CHVRBK,CHEVAYUR SERVICE CO OPERATIVE BANK,
CIRALT,Syndicate Bank,
CITI,Citi Bank,citi_logo
CITIBA,Citi Bank,citi_logo
CITIBK,Citi Bank,citi_logo
CITIBN,Citi Bank,citi_logo
CITYBK,THE GODHRA CITY CO OPERATIVE BANK LIMITED,
CLABBK,COASTAL LOCAL AREA BANK LTD.,
CMPHYD,STATE BANK OF INDIA,sbi_logo
CMSRBI,Reserve Bank of India,
CNBANK,SHREE CHHANI NAGRIK SAHAKARI BANK LTD,
CNSBLH,THE CHARADA NAGRIK SAHAKARI BANK LTD,
CNSBNK,THE CHANASMA NAGRIK SAHAKARI BANK LTD,
COCBNG,THE COMPTROLLERS OFFICE COOPERATIVE BANK LTD,
COMCBL,COMMERCIAL CO OP BANK LTD,
CORPBK,Corporation Bank,
COSTAL,COASTAL LOCAL AREA BANK LTD.,
COVIGL,Syndicate Bank,
CPCBBK,THE CHOPDA PEOPLES CO.OP. BANK LTD,
CRGBAD,CHHATTISGARH RAJYA GRAMIN BANK,
CSBANK,CHARTERED SAHAKARI BANK NIYAMITHA,
CSBBNK,CSB Bank Limited,
CSBN,CHARTERED SAHAKARI BANK NIYAMITHA,
CSBNKN,CHARTERED SAHAKARI BANK NIYAMITHA,
CSCBNK,chorode service co operative bank,
CSDSBI,STATE BANK OF INDIA,sbi_logo
CSFBNK,Capital Small Finance Bank Limited,
CTDSBI,STATE BANK OF INDIA,sbi_logo
CTMUGM,STATE BANK OF INDIA,sbi_logo
CTRCCB,THE CHITTOOR DISTRICT COOPERATIVE CENTRAL BANK LTD,
CTZENS,Citizens Co Operative Bank Ltd,
CUBANK,City Union Bank,cub_logo
CUBFST,City Union Bank,cub_logo
CUBLTD,City Union Bank,cub_logo
CUBOTP,City Union Bank,cub_logo
CUBSMS,City Union Bank,cub_logo
CUBUPI,City Union Bank,cub_logo
CUCBNK,Citizens Urban Cooperative Bank Ltd,
CVELUC,STATE BANK OF INDIA,sbi_logo
DACBNK,Dr. Annasaheb chougule Urban co op bank Ltd,
DAHODB,THE DAHOD URBAN COOP BANK LTD,
DBALRT,DEUTSCHE BANK AG,
DBKTNM,THE TIRUVANNAMALAI DT. CENTRAL CO.OP BANK LTD,
DBPSBI,STATE BANK OF INDIA,sbi_logo
DBSBNK,DBS BANK INDIA LIMITED,
DCBANK,DCB Bank Limited,
DCBBNK,DCB Bank Limited,
DCBDCB,DCB Bank Limited,
DCBGZB,ZILA SAHKARI BANK LTD GHAZIABAD,
DCBMBD,MORADABAD ZILA SAHKARI BANK LTD,
DCBMDL,JILA SAHAKARI KENDRIYA BANK MARYADIT MANDLA,
DCBMRT,zila sahkari bank ltd. meerut,
DCCBKC,THE KOLAR DISTRICT COOPERATIVE CENTRAL BANK LTD KOLAR,
DCCBLK,THE DISTRICT COOPERATIVE CENTRAL BANK LTD KHAMMAM,
DCCBLN,The Nalgonda Dist Cooperative Central Bank Ltd,
DCGBBK,TELANGANA GRAMEENA BANK,
DDCCBK,DHARMAPURI DCC BANK LIMITED,
DEEBNK,DEENDAYAL NAGARI SAHAKARI BANK LTD AMBAJOGAI,
DEENBK,DEENDAYAL NAGARI SAHAKARI BANK LTD AMBAJOGAI,
DENABK,Dena Bank,
DEOBNK,Deogiri Nagari Sahakari Bank Ltd.Aurangabad,
DEUTBK,DEUTSCHE BANK AG,
DGBSMS,DAKSHIN BIHAR GRAMIN BANK,
DGGBNK,Dena Bank,
DGLCBK,D C C BANK LIMITED,
DGMGZB,Syndicate Bank,
DGMGZD,Syndicate Bank,
DGMRBD,Syndicate Bank,
DGTBNK,STATE BANK OF INDIA,sbi_logo
DHANBK,Dhanlaxmi Bank Ltd,
DHARBK,Jila Sahakari kendriya bank Maryadit DHAR,
DHARCB,Jila Sahakari kendriya bank Maryadit DHAR,
DHARMA,THE DHARMAJ PEOPLES COOPERATIVE BANK LIMITED,
DHRTBK,SHREE DHARATI CO OP BANK LTD,
DITATM,Syndicate Bank,
DITHLP,Syndicate Bank,
DMCBKL,The Deccan Merchants Co.Op Bank Ltd,
DMCBNK,The Dahod Mercantile Co Op Bank Ltd,
DMCDHD,The Dahod Mercantile Co Op Bank Ltd,
DMNSBK,DWARKADAS MANTRI NAGKRI SAHAKARI BANK LTD BEED,
DMSALT,Syndicate Bank,
DNSBNK,DEENDAYAL NAGARI SAHAKARI BANK LTD AMBAJOGAI,
DOHABK,DOHA BANK QPSC INDIA BRANCHES,
DOMBNK,Dombivli Nagri Sahakari Bank Limited,
DPCSDX,HDFC BANK LIMITED,hdfc_logo
DSBANK,DHARMAVIR SAMBHAJI URBAN CO OP BANK LIMITED,
DSUCBK,DHARMAVIR SAMBHAJI URBAN CO OP BANK LIMITED,
DUBANK,THE DAHOD URBAN COOP BANK LTD,
DUCBDA,DAUSA URBAN COOPERATIVE BANK LIMITED,
DUCOBK,DEVIKA URBAN COOPERATIVE BANK LTD,
DUNDCB,District Cooperative Bank Ltd Dehradun,
DUNICA,STATE BANK OF INDIA,sbi_logo
DURGBK,jila Sahakari Kendriya Bank Durg,
EASFBT,ESAF SMALL FINANCE BANK LIMITED,
EBTALT,HDFC BANK LIMITED,hdfc_logo
ECOMPW,MUZAFFARNAGAR DISTRICT COOPERATIVE BANK LTD.,
EDBANK,ELLAQUAI DEHATI BANK,
EDSADM,STATE BANK OF INDIA,sbi_logo
EMLOTP,Syndicate Bank,
EQBANK,EQUITAS SMALL FINANCE BANK LIMITED,
EQUTAS,EQUITAS SMALL FINANCE BANK LIMITED,
EQUTAT,EQUITAS SMALL FINANCE BANK LIMITED,
EQUTAX,EQUITAS SMALL FINANCE BANK LIMITED,
ESAFIT,ESAF SMALL FINANCE BANK LIMITED,
ESAFOT,ESAF SMALL FINANCE BANK LIMITED,
ESAFPB,ESAF SMALL FINANCE BANK LIMITED,
ESAFPR,ESAF SMALL FINANCE BANK LIMITED,
ESAFSF,ESAF SMALL FINANCE BANK LIMITED,
ESAFTR,ESAF SMALL FINANCE BANK LIMITED,
ESFUAT,ESAF SMALL FINANCE BANK LIMITED,
EXCLCK,American Express Banking Corp.,amex_logo
EXIMBK,EXPORT IMPORT BANK OF INDIA,
FASTDV,RBL BANK LIMITED,rbl_logo
FCHRGE,AXIS BANK LIMITED,axis_logo
FDBOTP,FEDBANK FINANCIAL SERVICES LIMITED,
FEDADV,FEDERAL BANK,federal_logo
FEDBNK,FEDERAL BANK,federal_logo
FEDFIN,FEDBANK FINANCIAL SERVICES LIMITED,
FEDOTP,FEDERAL BANK,federal_logo
FGMCHN,Syndicate Bank,
FGMMUM,Syndicate Bank,
FGUCBK,FINGROWTH COOPERATIVE BANK LTD.,
FIDSBI,STATE BANK OF INDIA,sbi_logo
FINOBK,FINO PAYMENTS BANK LIMITED,
FINOHR,FINO PAYMENTS BANK LIMITED,
FINOIN,FINO PAYMENTS BANK LIMITED,
FINOPB,FINO PAYMENTS BANK LIMITED,
FMCLUC,STATE BANK OF INDIA,sbi_logo
FNCARE,FINCARE SMALL FINANCE BANK LIMITED,
FNGWBK,FINGROWTH COOPERATIVE BANK LTD.,
FROMSC,STANDARD CHARTERED BANK,stanchart_logo
FSLOCT,STATE BANK OF INDIA,sbi_logo
FZKCCB,THE FAZILKA CENTRAL COOPERATIVE BANK LTD,
GARHBK,ZILA SAHKARI BANK LTD.GARHWAL(KOTDWAR),
GBCBBK,THE GREATER BOMBAY CO OPERATIVE BANK LIMITED,
GBCBBN,THE GREATER BOMBAY CO OPERATIVE BANK LIMITED,
GCBBNK,GULSHAN MERCANTILE URBAN COOP BANK LTD,
GCCSBI,STATE BANK OF INDIA,sbi_logo
GDVBNK,THE GUDIVADA COOP URBAN BANK LTD,
GMCCDC,Syndicate Bank,
GMPERS,Syndicate Bank,
GMSMAD,Syndicate Bank,
GNDDCC,GONDIA DIST CENTRAL COOP BANK LTD,
GNSBKL,GONDAL NAGRIK SAHAKARI BANK LIMITED,
GNSBLT,THE GOZARIA NAGRIK SAHAKARI BANK LTD,
GPPJSB,Gopinath Patil Parsik Janata Sahakari Bank,
GPPSBL,Gopinath Patil Parsik Janata Sahakari Bank,
GRAMEN,J&K Grameen Bank,
GRBANK,SHRI. GOVARDHANSINGHJI RAGHUVANSHI SAH. BANK LTD,
GRCSBG,STATE BANK OF INDIA,sbi_logo
GRCSBI,STATE BANK OF INDIA,sbi_logo
GSBANK,GAUTAM SAHAKARI BANK LTD,
GSCBBK,THE GUJARAT STATE CO OPERATIVE BANK LTD,
GSCBNK,THE GUJARAT STATE CO OPERATIVE BANK LTD,
GSCLOC,STATE BANK OF INDIA,sbi_logo
GSSBNK,Guardian Souharda Sahakari Bank Niyamita,
GTRCCB,The Guntur District Co Operative Central Bank Ltd.,
GUBANK,THE GODHRA URBAN CO OPERATIVE BANK LTD,
GUBNKO,The Goa Urban Coop Bank Ltd,
GUCBNK,The Goa Urban Coop Bank Ltd,
GUCBSI,THE GANDHINAGAR URBAN CO OP BANK LTD,
GUCBSR,THE GANDHINAGAR URBAN CO OP BANK LTD,
GUCBTR,THE GANDHINAGAR URBAN CO OP BANK LTD,
GUJAMB,GUJARAT AMBUJA CO OPERATIVE BANK LTD,
GVNSBL,GHOGHAMBA VIBHAG NAGLIK SAHAKARI BANK LIMITED,
HARCOB,THE HARYANA STATE COOPERATIVE APEX BANK LTD.,
HARDBK,ZILA SAHAKARI BANK LIMITED HARDWAR,
HARIDC,ZILA SAHAKARI BANK LIMITED HARDWAR,
HASTIB,THE HASTI COOP BANK LTD,
HDCCBK,HAMIRPUR DISTRICT COOPERATIVE BANK LTD,
HDFCAL,HDFC BANK LIMITED,hdfc_logo
HDFCBA,HDFC BANK LIMITED,hdfc_logo
HDFCBK,HDFC BANK LIMITED,hdfc_logo
HDFCBN,HDFC BANK LIMITED,hdfc_logo
HDFCCC,HDFC BANK LIMITED,hdfc_logo
HDFCDC,HDFC BANK LIMITED,hdfc_logo
HDFCFD,HDFC BANK LIMITED,hdfc_logo
HDFCGC,HDFC BANK LIMITED,hdfc_logo
HDFCHI,HDFC BANK LIMITED,hdfc_logo
HDFCHL,HDFC BANK LIMITED,hdfc_logo
HDFCIT,HDFC BANK LIMITED,hdfc_logo
HDFCLI,HDFC BANK LIMITED,hdfc_logo
HDFCPL,HDFC BANK LIMITED,hdfc_logo
HDFCRD,HDFC BANK LIMITED,hdfc_logo
HDFCSD,HDFC BANK LIMITED,hdfc_logo
HDFCSE,HDFC BANK LIMITED,hdfc_logo
HDFCUN,HDFC BANK LIMITED,hdfc_logo
HDFSET,HDFC BANK LIMITED,hdfc_logo
HDFTST,HDFC BANK LIMITED,hdfc_logo
HMCBNK,THE HALOL MERCANTILE CO OP BANK LTD,
HNSBLH,THE HANSOT NAGRIK SAHAKARI BANK LIMITED,
HNSBNK,HIMATNAGAR NAGRIK SAHAKARI BANK LIMITED,
HOCPPC,Syndicate Bank,
HOHRMS,Syndicate Bank,
HORRMD,ANDHRA PRAGATHI GRAMEENA BANK,
HOSRDD,Syndicate Bank,
HPGSMS,HIMACHAL PRADESH GRAMIN BANK,
HPSBNK,H.P. STATE COOPERATIVE BANK LTD.,
HRHDFC,HDFC BANK LIMITED,hdfc_logo
HRMSCC,STATE BANK OF INDIA,sbi_logo
HSBANK,HUTATMA SAHAKARI BANK LTD WALWA,
HSBCBK,The Hongkong & Shanghai Banking Corporation Limited,hsbc_logo
HSBCEX,The Hongkong & Shanghai Banking Corporation Limited,hsbc_logo
HSBCIM,The Hongkong & Shanghai Banking Corporation Limited,hsbc_logo
HSBCIN,The Hongkong & Shanghai Banking Corporation Limited,hsbc_logo
HSBLBK,HUTATMA SAHAKARI BANK LTD WALWA,
HSBNKW,HUTATMA SAHAKARI BANK LTD WALWA,
HUCBNK,THE HONAVAR URBAN CO OPERATIVE BANK LIMITED,
HYDCCB,The Hyderabad District Cooperative Central Bank Limited,
IAPPRV,STATE BANK OF INDIA,sbi_logo
ICBANK,ICICI BANK LIMITED,icici_logo
ICIBNK,ICICI BANK LIMITED,icici_logo
ICICBK,ICICI BANK LIMITED,icici_logo
ICICIB,ICICI BANK LIMITED,icici_logo
ICICIH,ICICI BANK LIMITED,icici_logo
ICICIK,ICICI BANK LIMITED,icici_logo
ICICIL,ICICI BANK LIMITED,icici_logo
ICICTC,ICICI BANK LIMITED,icici_logo
ICIEMP,ICICI BANK LIMITED,icici_logo
ICIOTP,ICICI BANK LIMITED,icici_logo
ICMTRG,STATE BANK OF INDIA,sbi_logo
IDBIBK,IDBI BANK LIMITED,
IDBIDL,IDBI BANK LIMITED,
IDFCBK,IDFC FIRST BANK LIMITED,idfc_logo
IDFCCM,IDFC FIRST BANK LIMITED,idfc_logo
IDFCFB,IDFC FIRST BANK LIMITED,idfc_logo
IDFCFZ,IDFC FIRST BANK LIMITED,idfc_logo
IDFCIT,IDFC FIRST BANK LIMITED,idfc_logo
IDFCTS,IDFC FIRST BANK LIMITED,idfc_logo
IDFCZ,IDFC FIRST BANK LIMITED,idfc_logo
IDFSIT,IDFC FIRST BANK LIMITED,idfc_logo
IDRNSB,THE IDAR NAGRIK SAHAKARI BANK LTD.,
